id_train,id_test,Hardness
580,10824,650
580,13823,650
1871,16403,380
3097,12024,500
3483,13131,600
5956,12618,550
6487,14760,380
7649,12559,680
7917,16644,580
8111,10777,150
8370,15922,680
8751,16861,150
9814,12234,150
9854,14247,650
9854,15174,650
10401,12472,230
10401,13946,230
10445,13585,750
10465,16045,600
10468,10912,600
10472,12775,600
10485,14049,280
10499,16126,550
10501,15812,250
10536,16775,250
10559,13082,280
10663,16425,330
10705,14357,230
10718,12877,530
10726,15224,230
10763,13319,250
10767,15083,530
10784,15144,550
10820,10486,150
10822,15775,580
10844,14720,500
10882,13031,200
10928,11047,230
10937,16468,400
