,CB1R,CB2R,CB3R,XGB1R,XGB2R,XGB3R,HGBR
0,52.977733,53.639107,54.635261,52.34877,53.19507,52.028625,51.079639
1,51.09646,52.53275,52.830881,50.296936,50.4169,51.194168,54.085288
2,54.960052,53.9991,55.388525,53.108734,53.7222,49.75351,57.158354
3,48.505033,49.324046,50.229686,47.980835,51.32538,48.209045,60.963478
4,56.023199,55.716256,58.329387,54.015343,56.132446,55.245163,56.740108
5,55.692911,55.057748,55.613731,51.56479,54.363586,53.47339,55.031159
6,54.193942,57.419385,57.214384,55.873077,59.488342,55.75113,58.618898
7,55.865422,57.795222,59.458805,54.11429,55.776077,53.096375,57.353324
8,56.181088,62.19491,62.983373,53.3927,53.7836,55.744446,57.804123
9,49.515902,51.11961,51.699548,47.931885,51.023834,49.328278,51.641069
